day.frac,min.flux,mean.flux,max.flux
0.689583333,94.53540208,126.6383389,147.2080234
0.690277778,94.49530696,128.1061669,148.9142685
0.690972222,94.45521183,129.6790618,150.7426465
0.691666667,93.4439236,131.0486721,152.3347207
0.692361111,93.22117288,131.9011108,153.3256198
0.693055556,92.88704682,133.671063,155.3830628
0.69375,92.21879468,135.3339411,157.3160398
0.694444444,94.3215614,137.0594652,159.3218383
0.695138889,90.43678899,138.0426596,160.4647316
0.695833333,90.88229041,139.1808345,161.7877787
0.696527778,90.21403827,138.7704312,161.3107141
0.697222222,89.99128756,140.6049621,163.4432252
0.697916667,90.96693568,142.4357712,204.7903442
0.698611111,89.32303543,144.232572,167.6600627
0.699305556,88.76615865,146.0173013,169.734683
0.7,88.20928187,150.6565045,175.1274253
0.700694444,87.20690367,153.9432991,178.9480892
0.701388889,91.16295631,157.2398014,204.49189
0.702083333,81.52676052,160.2677,195.8243993
0.702777778,80.63575767,163.2262588,197.5403753
0.703472222,79.74475482,166.4820087,193.5234435
0.704166667,80.07888089,168.9958613,196.4456177
0.704861111,87.76378045,171.620209,201.3671
0.705555556,79.18787804,174.2489985,202.5520144
0.70625,78.85375197,176.7869705,205.5022256
0.706944444,78.40825055,177.613908,206.4634814
0.707638889,77.5172477,178.21523,207.1624753
0.708333333,94.13890582,178.8212713,284.3988257
0.709027778,94.37056656,179.7607215,236.6383072
0.709722222,94.63786741,180.7055916,237.5187596
0.710416667,95.4174949,181.5888895,234.7792176
0.711111111,95.98328171,181.7855063,232.6858077
0.711805556,96.54906852,181.7071819,253.9008376
0.7125,97.19059057,182.4852626,221.0425947
0.713194444,97.73855732,183.0701337,224.2877169
0.713888889,98.12168854,183.4968992,224.289523
0.714583333,97.56481176,182.6822338,222.6191325
0.715277778,99.00378136,181.8755075,228.8217395
0.715972222,93.22117288,181.0759314,210.4878363
0.716666667,94.66905251,180.3767324,209.6750674
0.717361111,94.00080038,176.6564732,205.3505318
0.718055556,93.88942502,174.2238863,202.5228233
0.71875,95.44868,171.6907595,230.1611551
0.719444444,94.30374134,169.2496782,201.5382252
0.720138889,93.1632577,166.8765031,195.264213
0.720833333,93.4439236,165.6857165,196.2645382
0.721527778,93.27908807,162.5317549,193.2246321
